"Nome","Telefone","Endereço","Tipo","Prioridade","Status","Avaliação","Anotações"
"Buffet Planeta Kids – Pompéia","11915671004","Av. Pompéia, 1603 – Perdizes","Buffet Infantil","alta","contatado","4.2","mensagem enviada via whatsapp em 19/05 - Sem retorno, nova mensagem enviada dia 22/05"
"Buffet Uriel – Osasco","11947475004","R. General Florêncio, 868 – Quitaúna, Osasco","Buffet Infantil","alta","pendente","4.8","Mensagem enviada via whatsapp dia 19/05. Sem retorno. Nova mensagem enviada 22/05."
"Buffet Viva Vida","1137272408","Av. Corifeu de Azevedo Marques, 161 – Butantã","Buffet Infantil","alta","contatado","4.6","Contatto realizado via telefone fixo dia 19/05. Redirecionaram para o whtasapp 11 99611-3040. Mensagem enviada, porém sem retorno. Nova mensagem dia 22/05"
"Estrelato Kids Buffet – Vila São Francisco","11964069557","Av. Corifeu de Azevedo Marques, 6100 – Vila São Francisco","Buffet Infantil","alta","contatado","4.9","Mensagem enviada via whatsapp dia 19/05. Sem retorno, nova mensagem enviada em 22/05."
"Circo Mágico Buffet Infantil","11999178538","Av. Queiroz Filho, 800 – Vila Hamburguesa","Buffet Infantil","alta","sem-interesse","4.8","contato realizado via whatsapp, porém sem interesse do cliente."
"The Village Buffet","1138628344","R. Clélia, 1402 – Lapa","Buffet / Eventos","alta","pendente","4.6","Sem contato pelo telefone fixo em 19/05. Nova tentativa dia 22/05 sem retorno."
"Buffet Espaço Vila da Arte","1143249082","R. Carlos Vicari, 327 – Perdizes","Buffet Infantil","alta","pendente","4.6","Sem contato via telefone fixo dia 19/05. Nova tentativa dia 22/05, sem retorno."
"VillAlegre Buffet e Eventos","11994755610","Av. Imperatriz Leopoldina, 515 – Vila Leopoldina","Buffet Infantil","media","sem-interesse","4.8","Contato realizado via whtsapp dia 19/05 com retorno negativa, sem interesse. Bom dia! Agradeço o contato!  Nao precisa enviar amostra, se precisarmos entramos em contato.  Obrigada!"
"Buffet Spasso Dourado Kids","1139743665","Av. Marquês de S. Vicente, 1584 – Perdizes","Buffet Infantil","media","pendente","4.8","Tentativa de contato via telefone fixo, sem retorno. Novo contato dia 22/05."
"Espaço Boo!","11972366511","R. Nossa Sra. da Lapa, 747 – Lapa","Buffet Infantil","media","contatado","4.4","Mensagem enviada via whatsapp dia 19/05. Sem retorno, nova mensagem enviada dia 22/05."
"Buffet Magic Moment","11991396690","R. Pio XI, 1185 – Alto da Lapa","Buffet Infantil","media","contatado","4.3","Mensagem enviada via whatsapp dia 19/05. Sem retrono, nova mensagem enviada dia 22/05"
